proud_world_heritage,asset,identity,quality_of_life,aesthetic,love_live_beside,NRM
7,7,7,7,7,10,Burdekin
5,10,7,6,5,10,Burdekin
8,6,,8,6,7,Burdekin
10,10,10,10,10,10,Burdekin
10,10,7,10,,5,Burdekin
9,8,1,7,8,7,Burdekin
9,9,5,5,10,10,Burdekin
10,10,5,5,10,10,Burdekin
8,8,7,7,6,8,Burdekin
10,10,2,2,10,10,Burdekin
10,10,6,10,10,10,Burdekin
7,10,5,10,10,10,Burdekin
10,10,8,9,7,10,Burdekin
10,10,7,10,10,10,Burdekin
8,10,4,6,10,10,Burdekin
10,10,9,10,10,10,Burdekin
8,8,6,6,8,8,Burdekin
10,10,5,10,10,8,Burdekin
10,10,1,5,10,6,Burdekin
7,7,5,8,10,8,Burdekin
6,6,6,6,6,6,Burdekin
10,10,2,2,10,10,Burdekin
9,9,9,9,10,10,Burdekin
10,10,10,8,10,2,Burdekin
10,10,5,5,5,5,Burdekin
10,10,10,10,10,10,Burdekin
10,5,5,7,10,10,Burdekin
10,10,10,10,10,10,Burdekin
10,10,10,9,10,10,Burdekin
10,10,9,7,10,10,Burdekin
10,10,5,4,10,8,Burdekin
10,10,8,8,10,10,Burdekin
10,10,5,2,9,10,Burdekin
10,10,8,10,9,10,Burdekin
10,9,8,9,10,10,Burnett Mary
8,10,1,1,7,1,Burnett Mary
10,10,10,10,10,6,Burnett Mary
10,10,7,7,10,10,Burnett Mary
10,,9,7,7,8,Burnett Mary
10,10,9,9,9,10,Burnett Mary
10,10,10,10,10,10,Burnett Mary
7,6,5,6,7,10,Burnett Mary
10,10,8,9,9,10,Burnett Mary
9,9,9,9,9,9,Burnett Mary
10,10,8,8,10,10,Burnett Mary
10,10,10,10,10,10,Burnett Mary
10,10,6,10,10,8,Burnett Mary
10,10,5,10,10,10,Burnett Mary
10,10,10,10,10,10,Burnett Mary
10,10,10,10,10,10,Burnett Mary
10,10,8,10,10,10,Burnett Mary
10,10,5,9,10,8,Burnett Mary
8,10,1,5,10,5,Burnett Mary
10,10,10,10,10,10,Burnett Mary
10,9,7,7,10,9,Burnett Mary
10,10,6,6,10,6,Burnett Mary
10,10,6,6,10,3,Burnett Mary
10,9,8,10,9,10,Burnett Mary
10,10,6,6,10,1,Burnett Mary
10,10,8,8,9,9,Burnett Mary
10,10,6,4,10,4,Burnett Mary
10,10,4,7,10,10,Burnett Mary
1,5,1,1,5,5,Burnett Mary
10,10,8,4,8,9,Burnett Mary
10,10,1,3,10,1,Burnett Mary
10,10,9,9,10,9,Burnett Mary
10,10,8,8,10,10,Burnett Mary
10,10,,7,10,8,Burnett Mary
10,9,4,4,9,9,Burnett Mary
8,8,6,,9,5,Burnett Mary
6,6,,3,9,8,Burnett Mary
10,10,8,8,9,10,Burnett Mary
10,10,,8,10,2,Burnett Mary
10,10,7,9,10,9,Burnett Mary
,,,,10,10,Burnett Mary
10,10,6,6,10,10,Burnett Mary
10,10,1,1,10,10,Burnett Mary
10,10,5,8,8,10,Burnett Mary
10,10,10,10,10,10,Cape York
10,10,3,3,10,6,Fitzroy
9,9,8,8,9,5,Fitzroy
10,10,10,10,10,10,Fitzroy
10,10,10,10,10,,Fitzroy
9,9,7,8,8,8,Fitzroy
10,10,9,6,10,10,Fitzroy
10,10,10,10,10,10,Fitzroy
10,10,10,10,10,10,Fitzroy
10,10,10,10,10,10,Fitzroy
8,8,,8,8,8,Fitzroy
,5,7,9,10,10,Fitzroy
8,8,5,5,8,8,Fitzroy
10,10,6,5,8,1,Fitzroy
1,5,6,10,6,,Fitzroy
10,10,5,7,10,8,Fitzroy
10,10,8,8,8,8,Fitzroy
10,10,6,6,8,10,Fitzroy
6,6,3,5,9,6,Fitzroy
10,10,10,10,10,10,Fitzroy
10,10,3,10,10,7,Fitzroy
5,4,4,4,4,5,Fitzroy
6,10,4,3,7,8,Fitzroy
10,10,10,10,10,10,Fitzroy
10,10,5,10,5,10,Fitzroy
10,10,10,10,,10,Fitzroy
10,10,8,9,10,10,Fitzroy
10,10,10,10,10,10,Fitzroy
10,10,10,10,10,,Fitzroy
10,10,10,8,10,10,Fitzroy
10,10,7,8,9,10,Fitzroy
10,8,6,9,10,9,Fitzroy
10,7,3,3,7,10,Fitzroy
10,10,6,8,10,8,Fitzroy
5,9,4,6,9,10,Fitzroy
10,10,8,8,10,10,Fitzroy
10,10,10,10,10,10,Fitzroy
9,9,6,7,7,7,Fitzroy
10,10,9,9,8,9,Fitzroy
9,10,7,10,10,9,Fitzroy
10,10,7,9,10,9,Fitzroy
8,6,1,3,8,10,Fitzroy
10,6,5,10,8,10,Fitzroy
10,10,10,10,10,10,Fitzroy
10,10,7,9,10,10,Fitzroy
10,10,10,10,10,10,Fitzroy
10,8,6,9,9,9,Fitzroy
10,10,7,10,10,10,Fitzroy
10,10,10,10,10,10,Fitzroy
10,10,10,10,10,10,Fitzroy
8,8,5,8,8,7,Fitzroy
10,10,2,9,10,9,Fitzroy
10,9,8,9,10,10,Fitzroy
10,10,10,10,10,10,Fitzroy
8,7,5,5,10,10,Fitzroy
10,10,6,8,10,9,Fitzroy
10,10,8,8,10,10,Fitzroy
10,10,3,3,10,7,Fitzroy
10,10,10,10,10,10,Fitzroy
